job_id,company,title,primary_track,secondary_track,location,remote_type,employment_type,salary_min,salary_max,salary_currency,date_posted,date_discovered,last_verified,experience_required,work_authorization_text,sponsorship_text,fit_score,confidence_score,bucket,status,canonical_url,recommended_resume,recommended_projects,next_action
skims-4430168363,SKIMS,Jr Graphic Designer,A,C,"Los Angeles, CA","On-site, 4 days/week",Full-time,55000,70000,USD,,2026-07-26,2026-07-26,"Recent graduate to 1 year of digital design experience across social, web, and email marketing.",The posting says applicants must be eligible to work in the U.S.,Unknown: the posting does not state whether current or future sponsorship is available.,94,100,Apply Today,shortlisted,https://skims.pinpointhq.com/postings/3a4f8c19-e8d5-4e19-b47c-a5d7e8a56a63,"Visual/Brand route with motion, digital campaign, and AI-tool bullets moved upward.",ZNTR | Artificial Atmosphere | Anaago,Apply first; lead with motion-enabled digital campaign work and show real editing and AI-assisted workflows without overstating outcomes.
helpscout-82c4c13c,Help Scout,Brand Designer,A,B,Remote - United States or Canada,Remote,Full-time,95000,105000,USD,2026-07-20,2026-07-25,2026-07-26,No numeric years stated; described as a role for a designer honing their craft and hungry to grow.,Teammates must already be authorized to work from their home country.,Help Scout states that it does not sponsor visas.,92,100,Apply Today,shortlisted,https://jobs.ashbyhq.com/helpscout/82c4c13c-0a9e-4afe-a0cb-d925cf7a15b8,Visual/Brand route - use the current Visual & Digital baseline until Resume_Visual_Brand.pdf is supplied.,ZNTR | Anaago (only if public sharing is approved) | Artificial Atmosphere,"Confirm work-authorization viability before spending tailoring time; if viable, prioritize this role today."
lagom-4442693326,LAGOM,Junior Graphic Designer,A,C,"Los Angeles, CA",Unknown,Contract,23,28,USD/hour,,2026-07-26,2026-07-26,1–3 years of in-house digital design experience.,Unknown: not stated.,Unknown: not stated.,92,85,Freelance / Contract,shortlisted,https://www.linkedin.com/jobs/view/4442693326/,"Visual/Brand route emphasizing motion, short-form content, packaging systems, and AI-supported iteration.",ZNTR | Artificial Atmosphere | Anaago,Apply early through LinkedIn; ask about contract duration and work authorization only when the employer requests it.
aninebing-5282740008,ANINE BING,Associate Graphic Designer,A,,"Los Angeles, CA",On-site,Unknown,,,,,2026-07-25,2026-07-26,"1-2 years of relevant design experience, including internships or freelance work.",The application asks whether the applicant is authorized to work in the United States; the posting does not state an eligibility policy.,The application asks whether sponsorship is required now or in the future; the posting does not state whether sponsorship is available.,89,85,Apply Today,shortlisted,https://job-boards.greenhouse.io/aninebing/jobs/5282740008,Visual/Brand route - use the current Visual & Digital baseline until Resume_Visual_Brand.pdf is supplied.,ZNTR | Artificial Atmosphere | Anaago (only if public sharing is approved),"Review today; if approved, confirm Anaago visibility and tailor the current baseline toward campaigns, brand consistency, and Adobe craft."
jacques-marie-mage-121407,Jacques Marie Mage,Junior Graphic Designer,A,,"Los Angeles, CA",On-site,Full-time,60000,65000,USD,,2026-07-25,2026-07-26,1-2 years in a deadline-driven graphic-design environment.,Unknown: not stated.,Unknown: not stated.,88,85,Apply Today,shortlisted,https://app.trinethire.com/companies/132106-jacques-marie-mage-inc/jobs/121407-junior-graphic-designer,Visual/Brand route - use the current Visual & Digital baseline until Resume_Visual_Brand.pdf is supplied.,ZNTR | Anaago (only if public sharing is approved) | Artificial Atmosphere,"High priority: tailor the visual resume and lead the portfolio with refined luxury-facing brand, typography, photography, and print examples."
haus-motion-78902CC55A,Haus,Motion Designer,A,C,"Los Angeles, CA",Hybrid,Full-time,75000,105000,USD,,2026-07-25,2026-07-26,No numeric year requirement stated; a strong motion portfolio is required.,Unknown: not stated.,Unknown: not stated.,88,83,Apply Today,shortlisted,https://madeinhaus.com/careers/78902CC55A,Visual/Brand route - use the current Visual & Digital baseline until Resume_Visual_Brand.pdf is supplied.,Artificial Atmosphere | ZNTR | One Hit,"Review today; if approved, audit the motion reel order and lead with After Effects, Premiere, visual systems, and concept-to-finish production."
insomniac-4306642171,Insomniac Events,Insomniac Clubs — Junior Graphic Designer,A,C,"Los Angeles, CA",On-site,Full-time,20,26,USD/hour,,2026-07-26,2026-07-26,1+ year of graphic-design experience.,Applicants must already possess U.S. work authorization that does not require employer visa sponsorship.,The posting says the role does not provide visa sponsorship.,87,90,Strong Consideration,shortlisted,https://www.linkedin.com/jobs/view/4306642171/,"Visual/Brand route with production design, compositing, typography, and motion evidence near the top.",ZNTR | Artificial Atmosphere | Sun and Light,Only apply after confirming the posting's no-sponsorship condition is compatible with your latest authorization plan.
melin-4417018055,melin,Jr. Graphic Designer,A,,"San Clemente, CA","Hybrid, 4 days/week on-site",Full-time,24,27,USD/hour,,2026-07-26,2026-07-26,1–2 years of experience.,Unknown: not stated.,Unknown: not stated.,86,100,Strong Consideration,shortlisted,https://archipelagocos.bamboohr.com/careers/705,"Visual/Brand route emphasizing Figma, digital campaigns, systematic asset production, and refined typography.",ZNTR | Anaago | Artificial Atmosphere,Apply if the San Clemente commute or relocation is realistic; otherwise keep below the LA-local roles.
alpinestars-9d277ad6,Alpinestars,Junior Graphic Designer,A,,"Torrance, CA",On-site,Full-time,70000,72000,USD,,2026-07-25,2026-07-26,1-2 years; internships and freelance work are considered.,Unknown: not stated.,Unknown: not stated.,86,85,Strong Consideration,shortlisted,https://jobs.lever.co/alpinestars/9d277ad6-edde-4b9d-8f1b-d35f778a8f4f,Visual/Brand route - use the current Visual & Digital baseline until Resume_Visual_Brand.pdf is supplied.,Anaago (only if public sharing is approved) | ZNTR | Artificial Atmosphere,"High priority: apply with a portfolio sequence that foregrounds campaign systems, photography, retouching, motion, and production accuracy."
goodr-8467026002,goodr,Associate Designer,A,,"Inglewood / Los Angeles, CA",Hybrid,Full-time,57000,67000,USD,,2026-07-25,2026-07-26,1+ years; internships and side projects are explicitly welcomed.,Unknown: the posting does not state the current authorization test.,No visa sponsorship is available for this position.,85,85,Archive,closed,https://job-boards.greenhouse.io/goodr/jobs/8467026002,Visual/Brand route - use the current Visual & Digital baseline until Resume_Visual_Brand.pdf is supplied.,ZNTR | Artificial Atmosphere | Sun and Light,Do not apply: the official Greenhouse requisition redirects to the company job board with error=true and no Associate Designer opening.
